"filename", "language", "JavaScript", "Vue", "CSS", "comment", "blank", "total"
"g:\Projects\easy-prompt\frontend\src\App.vue", "Vue", 0, 20, 0, 0, 4, 24
"g:\Projects\easy-prompt\frontend\src\api\api.js", "JavaScript", 81, 0, 0, 23, 25, 129
"g:\Projects\easy-prompt\frontend\src\assets\custom.css", "CSS", 0, 0, 30, 1, 2, 33
"g:\Projects\easy-prompt\frontend\src\assets\reset.css", "CSS", 0, 0, 49, 5, 1, 55
"g:\Projects\easy-prompt\frontend\src\components\func\chat.vue", "Vue", 0, 394, 0, 24, 2, 420
"g:\Projects\easy-prompt\frontend\src\components\home.vue", "Vue", 0, 272, 0, 6, 4, 282
"g:\Projects\easy-prompt\frontend\src\components\login\checkDevice.vue", "Vue", 0, 53, 0, 2, 2, 57
"g:\Projects\easy-prompt\frontend\src\components\login\login.vue", "Vue", 0, 339, 0, 19, 5, 363
"g:\Projects\easy-prompt\frontend\src\components\patterns\design.vue", "Vue", 0, 979, 0, 103, 17, 1099
"g:\Projects\easy-prompt\frontend\src\components\patterns\index.vue", "Vue", 0, 104, 0, 1, 2, 107
"g:\Projects\easy-prompt\frontend\src\components\patterns\mine.vue", "Vue", 0, 187, 0, 15, 2, 204
"g:\Projects\easy-prompt\frontend\src\components\patterns\process.vue", "Vue", 0, 927, 0, 129, 9, 1065
"g:\Projects\easy-prompt\frontend\src\components\patterns\repository.vue", "Vue", 0, 170, 0, 15, 2, 187
"g:\Projects\easy-prompt\frontend\src\components\profile\me.vue", "Vue", 0, 27, 0, 0, 3, 30
"g:\Projects\easy-prompt\frontend\src\main.js", "JavaScript", 19, 0, 0, 17, 8, 44
"g:\Projects\easy-prompt\frontend\src\router\index.js", "JavaScript", 57, 0, 0, 0, 3, 60
"g:\Projects\easy-prompt\frontend\src\utils\axiosUtil.js", "JavaScript", 75, 0, 0, 13, 8, 96
"g:\Projects\easy-prompt\frontend\src\utils\pattern.js", "JavaScript", 175, 0, 0, 0, 0, 175
"g:\Projects\easy-prompt\frontend\src\utils\tokenUtil.js", "JavaScript", 9, 0, 0, 0, 2, 11
"g:\Projects\easy-prompt\frontend\src\utils\toolsUtil.js", "JavaScript", 34, 0, 0, 0, 1, 35
"Total", "-", 450, 3472, 79, 373, 102, 4476